bikeID,lat,lng
0210010397#,31.36992,121.536199
0210010662#,31.357585,121.374498
0210010863#,31.348008,121.346387
0210010998#,31.323683,121.520262
0210011055#,31.395733,121.499864
0210011102#,31.33815,121.427602
0210011129#,31.329742,121.399424
0210011235#,31.315127,121.339707
0210011296#,31.312431,121.16084
0210011363#,31.370627,121.347129
0210011465#,31.319998,121.536641
0210011507#,31.32647,121.384749
0210011615#,31.331061,121.378475
0210011897#,31.364381,121.46051
0210012061#,31.328227,121.366681
0210012077#,31.38637,121.18939
0210012079#,31.321318,121.543394
0210012256#,31.349139,121.354821
0210012293#,31.33521,121.374146
0210012325#,31.395501,121.501246
0210012334#,31.386969,121.503123
0210012462#,31.334192,121.461682
0210012540#,31.372966,121.363172
0210012574#,31.360992,121.554574
0210012631#,31.348264,121.37755
0210012668#,31.334424,121.524415
0210012675#,31.325406,121.589125
0210012738#,31.379237,121.491982
0210012838#,31.333416,121.606688
0210012984#,31.343094,121.493325
0210013703#,31.394811,121.290971
0210013717#,31.35729,121.407402
0210013749#,31.344806,121.412947
0210013859#,31.401192,121.235517
0210013992#,31.323365,121.461113
0210014089#,31.324521,121.588054
0210014101#,31.390687,121.374505
0210014159#,31.348093,121.422121
0210014252#,31.328832,121.474907
0210014312#,31.367227,121.367384
0210014404#,31.404368,121.505724
0210014439#,31.397635,121.50053
0210014665#,31.322462,121.485658
0210014699#,31.366353,121.34098
0210015033#,31.38766,121.395658
0210015075#,31.378262,121.518342
0210015256#,31.351563,121.448922
0210015313#,31.344687,121.441047
0210015381#,31.316646,121.360613
0210015387#,31.348197,121.281358
0210015512#,31.372154,121.450114
0210015603#,31.342073,121.419198
0210015649#,31.331261,121.429831
0210015791#,31.383766,121.453516
0210015851#,31.389384,121.325484
0210015878#,31.337509,121.526582
0210015898#,31.323384,121.431342
0210015931#,31.340799,121.479475
0210015973#,31.34944,121.461691
0210016032#,31.335272,121.374181
0210016039#,31.353863,121.445721
0210016040#,31.354132,121.355153
0210016201#,31.351212,121.345699
0210016463#,31.370986,121.49307
0210016593#,31.388604,121.505912
0210016636#,31.402978,121.284265
0210020201#,31.331561,121.533267
0210020330#,31.377152,121.546689
0210020339#,31.39164,121.400672
0210020379#,31.376434,121.475684
0210020426#,31.352456,121.451585
0210020442#,31.334578,121.374859
0210020530#,31.34992,121.50013
0210020548#,31.394509,121.498704
0210020580#,31.393952,121.502527
0210020683#,31.326113,121.365613
0210020759#,31.365269,121.468344
0210020764#,31.317806,121.348399
0210020808#,31.367541,121.539561
0210020839#,31.375066,121.425396
0210020942#,31.374314,121.424378
0210020948#,31.385161,121.502106
0210021019#,31.390945,121.499875
0210021020#,31.328625,121.524516
0210021025#,31.380926,121.453306
0210021088#,31.382123,121.383153
0210021254#,31.398979,121.503354
0210021305#,31.372531,121.525633
0210021325#,31.359491,121.448604
0210021713#,31.341499,121.414298
0210021767#,31.36469,121.44856
0210021855#,31.377303,121.518709
0210021953#,31.372267,121.454608
0210021957#,31.336223,121.383618
0210021987#,31.393723,121.50071
0210022115#,31.378933,121.149884
0210022516#,31.335899,121.423655
0210023019#,31.394417,121.153347
0210023049#,31.354948,121.451581
0210023154#,31.346069,121.486822
0210023215#,31.37732,121.518761
0210023233#,31.361581,121.34776
0210023245#,31.337486,121.526984
0210023311#,31.328999,121.396383
0210023339#,31.39199,121.501243
0210023368#,31.371629,121.476427
0210023397#,31.368418,121.431385
0210023430#,31.378796,121.465545
0210023497#,31.359563,121.409438
0210023508#,31.342114,121.3635
0210023529#,31.321475,121.490221
0210023573#,31.351789,121.422464
0210023599#,31.39582,121.342445
0210023603#,31.337308,121.443324
0210023630#,31.391118,121.500027
0210023717#,31.356132,121.404399
0210023738#,31.321476,121.536617
0210023789#,31.367064,121.514582
0210023801#,31.354079,121.446569
0210023803#,31.324899,121.53296
0210023804#,31.378996,121.52726
0210023869#,31.363809,121.459309
0210023897#,31.391131,121.336409
0210023950#,31.330855,121.140794
0210023987#,31.376498,121.377819
0210024154#,31.333354,121.422384
0210024318#,31.333029,121.436165
0210024339#,31.331234,121.4566
0210024352#,31.321663,121.533241
0210024405#,31.373746,121.364682
0210024418#,31.343759,121.15021
0210024485#,31.366898,121.482047
0210024543#,31.384565,121.420559
0210024557#,31.3794,121.464131
0210024653#,31.372779,121.378843
0210024659#,31.358707,121.449125
0210024722#,31.321496,121.397763
0210024727#,31.333878,121.486622
0210024741#,31.339488,121.583198
0210024829#,31.370027,121.365265
0210024883#,31.354909,121.387212
0210024901#,31.350845,121.586714
0210024908#,31.396674,121.502503
0210024963#,31.336972,121.441507
0210024994#,31.36615,121.366914
0210025118#,31.31902,121.466993
0210025142#,31.380029,121.502901
0210025173#,31.393552,121.456734
0210025186#,31.326044,121.592971
0210025236#,31.341094,121.602509
0210025272#,31.346485,121.336895
0210025346#,31.344826,121.352896
0210025374#,31.382953,121.488548
0210025524#,31.367018,121.38627
0210025564#,31.329614,121.399096
0210025631#,31.395157,121.501709
0210025748#,31.328525,121.47811
0210025829#,31.34649,121.562256
0210025893#,31.339559,121.399641
0210025940#,31.357239,121.362891
0210025971#,31.38578,121.502772
0210025974#,31.395292,121.504223
0210026025#,31.340649,121.492098
0210026042#,31.370732,121.417228
0210026064#,31.342106,121.419213
0210026065#,31.332643,121.514031
0210026081#,31.345433,121.372178
0210026149#,31.391119,121.471493
0210026223#,31.338489,121.383794
0210026288#,31.320047,121.277883
0210026407#,31.313875,121.159057
0210026408#,31.332382,121.394891
0210026494#,31.339386,121.424842
0210026620#,31.370194,121.343622
0210026661#,31.362099,121.455858
0210026691#,31.323305,121.43128
0210026725#,31.352361,121.361428
0210026799#,31.381949,121.427993
0210026901#,31.319398,121.393828
0210026966#,31.343741,121.505266
0210027041#,31.365514,121.541363
0210027102#,31.326088,121.365539
0210027116#,31.343229,121.5062
0210027139#,31.359459,121.440169
0210027186#,31.327815,121.348058
0210027194#,31.373493,121.419505
0210027203#,31.332207,121.377042
0210027504#,31.397683,121.500591
0210027535#,31.327472,121.434948
0210027560#,31.328643,121.52458
0210027581#,31.360011,121.392706
0210027696#,31.356074,121.416033
0210027698#,31.373085,121.461595
0210027764#,31.35942,121.45868
0210027773#,31.358724,121.363054
0210027789#,31.337343,121.494642
